Fertilizer,temp,N,P,K,yeild
64.8632920026192,39.05320257859265,69.72741988383544,20.233932363335477,19.16534254268165,8.466518321077746
76.94436405778717,28.80176250799125,76.0803159192989,21.99744887887718,19.10338756441096,9.598902426512437
60.05809473487045,37.98787825033257,65.09089372369544,19.92759473391021,16.002047111907043,8.507990270600022
74.92504185075916,27.894043510463952,76.98167811023072,23.04783839382614,19.03154599451716,11.09063774831528
60.00517117781938,38.03230132983632,67.95801024401364,21.801718180450177,17.896654169774468,8.03422776046031
60.1859084829986,38.99159762008458,65.050041039871,19.00353707677446,16.90528252524926,6.471629481374001
51.86409540631842,38.163028741624935,64.01272235892233,19.04333398985608,15.162174761514908,6.427467109112006
70.86062651125498,28.13149488181108,76.7702931174532,20.90239505947901,19.91289216727356,10.97512242638248
60.05130866311076,37.054610091554885,63.00335104943319,20.16057639625911,18.02785941452573,6.966150943023309
70.01386663929534,39.11964202171478,69.87404732748776,19.97600140082958,16.008995826001513,6.763804215770077
59.99546183175545,39.01212467572563,60.04206055637367,18.01744723319077,14.875193928262364,5.412221480012012
78.87946848249955,27.92052213322781,77.11599790277972,22.93919388772034,21.00419794693425,10.31137726184938
74.95336034618339,28.01103430635901,74.95283867107071,23.02630390281322,20.18101497908095,11.08089217549334
79.00429826376538,27.82520325409777,76.96072337087655,23.086840505023574,19.043330267816355,10.020810854208264
80.08823916144006,28.00368470054312,80.1182413262016,24.11680254341148,20.09313898890536,12.07576675615647
60.003273074684735,38.95871185719472,59.92189909916202,17.90098555770362,15.033606640242002,5.9725982206307
78.99167728734882,29.07707516186553,79.03722853596973,22.903723932938533,19.894793530773757,11.06431371527388
77.02841912486703,26.800775889509527,74.8907198861665,22.004976969027705,19.894620788293786,9.533718265806543
60.036329029256336,39.08526105674606,59.91854417469501,17.96558536882451,14.86063626550778,5.4105443257954695
50.05260602716912,37.04307357763727,65.09643588025533,18.12705433240709,19.090651868072555,8.88706167265136
77.03860658949175,28.170075477185264,76.03819716645856,21.87057055203422,18.92297277937945,9.946806437589933
77.04771329229592,27.20087369964249,77.92949736523391,22.88324528731,19.81119207956371,12.128090871276752
55.8355886877991,40.04584897513583,66.95595135526108,17.996732699176096,14.959808777961308,7.041532939616076
65.0823821643667,37.96823465678961,60.00393369016979,20.089008529859527,15.902496695633326,7.831175589765181
70.0806336635863,28.13309338488048,70.05461430877567,22.015024244627696,18.92265253715592,10.0883955749283
59.00229069869691,39.93979601319465,66.94958659461297,18.04790834286521,16.02710629083905,7.456054679213614
49.96734612701592,36.85088109206645,64.932841354558,17.995382638800574,19.0590114496353,9.109319359138007
55.01047536168549,37.98582682184423,67.87930280850115,20.11134401487865,15.948446413754384,7.03188637497853
50.08931622736679,36.94737922587163,64.86465259283952,18.109460902726312,18.984041024049105,9.012024780596096
59.98410642105914,39.06371350707101,60.199895747042405,17.944994667465494,14.898806733951464,5.3491188241621686
60.04672797993752,38.252884233117896,65.167338523528,19.944011623581247,15.930351594029004,8.552803516821534
80.03196262896537,28.062439403965055,79.99262891834191,23.95693773874342,19.97795155352056,11.913493568649027
64.80992125632946,35.166655954729514,70.18765969535166,19.120204588517527,18.152152510248865,9.018563708506282
64.91689187129747,36.04569134934838,68.12215962028652,20.943138554862777,16.0050743094941,7.05803766734563
59.96542071794397,39.077421094101176,59.957799005646976,18.08101285849737,15.043677868126856,5.517971044721436
65.17699350801011,39.106918188225066,70.14685682909337,19.85151977038083,18.946345650567817,8.584975702963858
69.88321661997524,35.875337840743065,71.96441514216804,25.001617761336803,17.939571645053707,8.063221849635863
74.9488660582729,29.028874837718345,77.01303590498019,23.11642939679925,19.083934787562256,10.127742077154965
77.03735638155726,24.95998050679204,74.92819560906491,21.9824823958619,18.99647681999896,10.917249104501348
75.0181245361045,26.04375618823944,75.03134330046811,22.02684621649509,18.93582012632741,12.01066522701965
